Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2010,33,NWE,NFL,QB,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,189,50.1,79,7.9,9.02,12.0,243.8,111.0,79.1,25,175,4.84,7.21,8.25,2,3,18,PBAP-1AP MVP-1AP OPoY-1
2011,34,NWE,NFL,QB,16,16,13-3-0,401,611,65.6,5235,39,6.4,12,2.0,262,55.5,99,8.6,8.96,13.1,327.2,105.6,73.8,32,173,4.98,7.87,8.25,1,2,21,PB
2012,35,NWE,NFL,QB,16,16,12-4-0,401,637,63.0,4827,34,5.3,8,1.3,256,52.7,83,7.6,8.08,12.0,301.7,98.7,76.1,27,182,4.07,7.00,7.48,1,2,19,PBAP OPoY-3
2013,36,NWE,NFL,QB,16,16,12-4-0,380,628,60.5,4343,25,4.0,11,1.8,226,45.2,81,6.9,6.92,11.4,271.4,87.3,63.1,40,256,5.99,6.12,6.13,5,5,13,PBAP MVP-2AP OPoY-4
2014,37,NWE,NFL,QB,16,16,12-4-0,373,582,64.1,4109,33,5.7,9,1.5,221,49.1,69,7.1,7.50,11.0,256.8,97.4,77.2,21,134,3.48,6.59,7.01,2,2,16,PBAP MVP-5
2015,38,NWE,NFL,QB,16,16,12-4-0,402,624,64.4,4770,36,5.8,7,1.1,229,47.4,76,7.6,8.29,11.9,298.1,102.2,68.4,38,225,5.74,6.87,7.48,2,2,18,PBAP MVP-2AP OPoY-4
2016,39,NWE,NFL,QB,12,12,11-1-0,291,432,67.4,3554,28,6.5,2,0.5,165,,79,8.2,9.31,12.2,296.2,112.2,79.4,15,87,3.36,7.76,8.81,1,1,13,PBAP-2AP MVP-2AP OPoY-4
2017,40,NWE,NFL,QB,16,16,13-3-0,385,581,66.3,4577,32,5.5,8,1.4,230,49.7,64,7.9,8.36,11.9,286.1,102.8,71.1,35,201,5.68,7.10,7.56,2,2,20,PBAP-1AP MVP-1AP OPoY-3
2018,41,NWE,NFL,QB,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,205,51.8,63,7.6,7.79,11.6,272.2,97.7,68.4,21,147,3.55,7.12,7.26,1,2,14,PB
2019,42,NWE,NFL,QB,16,16,12-4-0,373,613,60.8,4057,24,3.9,8,1.3,193,44.1,59,6.6,6.81,10.9,253.6,88.0,55.7,27,185,4.22,6.05,6.24,1,1,12,
2020,43,TAM,NFL,QB,16,16,11-5-0,401,610,65.7,4633,40,6.6,12,2.0,233,49.6,50,7.6,8.02,11.6,289.6,102.2,66.0,21,143,3.33,7.12,7.53,3,3,15,
2021,44,TAM,NFL,QB,17,17,13-4-0,485,719,67.5,5316,43,6.0,12,1.7,269,52.6,62,7.4,7.84,11.0,312.7,102.1,73.1,22,144,2.97,6.98,7.41,3,5,16,PBAP-2AP MVP-2AP OPoY-3
2022,45,TAM,NFL,QB,17,17,8-9-0,490,733,66.8,4694,25,3.4,9,1.2,237,49.5,63,6.4,6.53,9.6,276.1,90.7,54.6,22,160,2.91,6.01,6.13,4,5,10,
,,,,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
23 Yrs,23 Yrs,23 Yrs,23 Yrs,,335,333,251-82-0,7753,12050,64.3,89214,649,5.4,212,1.8,4438,47.8,99,7.4,7.69,11.5,266.3,97.2,,565,3576,4.48,6.79,7.06,46,58,326,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,251-82-0,393,611,64.3,4527,33,5.4,11,1.8,225,47.8,99,7.4,7.69,11.5,266.3,97.2,,29,181,4.48,6.79,7.06,2,3,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWE (20 Yrs),NWE (20 Yrs),NWE (20 Yrs),NWE (20 Yrs),,285,283,219-64-0,6377,9988,63.8,74571,541,5.4,179,1.8,3699,47.2,99,7.5,7.74,11.7,261.7,97.0,,500,3129,4.77,6.81,7.08,36,45,285,
TAM (3 Yrs),TAM (3 Yrs),TAM (3 Yrs),TAM (3 Yrs),,50,50,32-18-0,1376,2062,66.7,14643,108,5.2,33,1.6,739,50.6,63,7.1,7.43,10.6,292.9,98.1,,65,447,3.06,6.67,6.99,10,13,41,
